molecule_chembl_id,IC50,units,smiles,pIC50,ro5_fulfilled,ROMol
CHEMBL4111998,0.192,nM,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)N[C@H](CO)c4cc(F)cc(Cl)c4)c(F)c3)c2)cn1,9.71669877129645,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163890>
CHEMBL3663034,0.1934,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4COC[C@H]4c4ccccc4)ncc23)ccn1,9.713543530253018,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163970>
CHEMBL3967428,0.2,nM,Cn1cc2c(n1)CCN(c1n[nH]c3cc(NC(=O)N[C@@H](c4ccc(F)cc4)C(C)(C)O)ncc13)C2,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61639e0>
CHEMBL4109364,0.2,nM,C[C@@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCOCC3)c2cn1)c1ccc(F)cc1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163a50>
CHEMBL3604851,0.2,nM,O=c1cc(N2CCc3[nH]nc(-c4ccncc4)c3C2)ccn1Cc1cccc(Br)c1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163ac0>
CHEMBL3985624,0.2,nM,C[C@H](O)[C@@H](NC(=O)Nc1cc2[nH]nc(N3CCOCC3)c2cn1)c1ccc(F)cc1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163b30>
CHEMBL4111821,0.2,nM,CN1C[C@H](c2ccccc2)[C@H](NC(=O)Nc2cc3[nH]nc(N4CCOCC4)c3cn2)C1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163ba0>
CHEMBL3939292,0.2,nM,Cn1cc(-c2cnc(N)c(-c3ccc(C(=O)NC(CN)c4cccc(Cl)c4)c(F)c3)c2)cn1,9.69897000433602,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163c10>
CHEMBL2408789,0.2045,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@H](C)c4ccccc4)ncc23)ccn1,9.68930668765664,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163c80>
CHEMBL4111399,0.205,nM,CNC[C@@H](NC(=O)c1ccc(-c2nc(C3CCCC(O)C3)cnc2N)cc1F)c1cccc(Cl)c1,9.688246138944246,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163cf0>
CHEMBL3949051,0.207,nM,Nc1ncc(C2CCOCC2)nc1-c1ccc(C(=O)N[C@H]2C[C@@H]2c2ccccc2)c(F)c1,9.684029654543082,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163d60>
CHEMBL4111855,0.21,nM,Nc1ncc(-c2ccncc2)nc1-c1ccc(C(=O)N[C@H](CO)c2ccccc2)c(F)c1,9.67778070526608,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163dd0>
CHEMBL4106965,0.215,nM,Nc1ncc(C2CCC(CO)CC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.667561540084394,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163e40>
CHEMBL4107341,0.217,nM,Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3cc(-c4ccnn4C)cnc3N)cc2F)c1,9.66354026615147,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163eb0>
CHEMBL3654809,0.2171,nM,Cc1cc(-c2n[nH]c3cc(NC(=O)N[C@@H]4CN(C)C[C@H]4c4ccccc4)ncc23)ccn1,9.66334017654558,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163f20>
CHEMBL3946846,0.218,nM,Nc1ncc([C@H]2CC[C@@H](O)[C@@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cc(F)cc(Br)c2)c(F)c1,9.661543506395397,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6163f90>
CHEMBL4106675,0.219,nM,Nc1ncc(C2=CCOCC2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.659555885159882,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6164040>
CHEMBL3934781,0.221,nM,Nc1ncc([C@H]2CCC(F)(F)[C@H](O)C2)nc1-c1ccc(C(=O)N[C@H](CO)c2cccc(Cl)c2)c(F)c1,9.655607726314887,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d61640b0>
CHEMBL4115339,0.221,nM,C[C@@H](NC(=O)c1ccc(-c2cc(-c3cnnn3C)cnc2N)cc1F)c1cccc(Cl)c1,9.655607726314887,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6164120>
CHEMBL3663134,0.2213,nM,COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccc4nnn(C)c4c3)c2cn1)c1ccccc1,9.655018586072742,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6164190>
CHEMBL3658692,0.223,nM,COC[C@@H](NC(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1)c1ccc(F)cc1,9.65169513695184,True,<rdkit.Chem.rdchem.Mol object at 0x7fd6d6164200>
